0.043 0.072
0.483 0.827
0.539 0.185
0.631 0.604
0.331 0.341
0.301 0.649
0.631 0.128
0.771 0.943
0.798 0.782
0.206 0.443
0.332 0.983
0.083 0.841
0.948 0.945
0.896 0.545
0.556 0.942
0.087 0.404
0.461 0.973
0.952 0.752
0.077 0.778
0.086 0.327
0.648 0.405
0.877 0.923
0.296 0.661
0.768 0.752
0.129 0.327
0.579 0.266
0.705 0.529
0.759 0.348
0.621 0.4
0.704 0.578
0.41 0.01
0.669 0.978
0.718 0.555
0.004 0.928
0.376 0.767
0.409 0.754
0.065 0.889
0.484 0.867
0.509 0.294
0.352 0.956
0.2 0.856
0.155 0.652
0.649 0.04
0.408 0.728
0.984 0.389
0.882 0.769
0.48 0.496
0.95 0.061
0.22 0.54
0.715 0.722
0.769 0.96
0.214 0.359
0.587 0.34
0.134 0.281
0.32 0.861
0.445 0.876
0.259 0.337
0.307 0.456
0.421 0.999
0.003 0.826
0.01 0.152
0.462 0.17
0.612 0.079
0.018 0.621
0.831 0.253
0.018 0.867
0.813 0.436
0.927 0.445
0.336 0.393
0.904 0.129
0.278 0.931
0.587 0.614
0.77 0.939
0.868 0.874
0.776 0.494
0.796 0.303
0.12 0.75
0.952 0.913
0.389 0.107
0.531 0.892
0.765 0.672
0.517 0.755
0.039 0.889
0.755 0.86
0.252 0.178
0.435 0.4
0.601 0.024
0.48 0.285
0.675 0.522
0.237 0.687
0.199 0.413
0.644 0.189
0.872 0.105
0.184 0.734
0.085 0.323
0.177 0.895
0.466 0.482
0.6 0.355
0.659 0.678
0.657 0.833
0.131 0.534
0.633 0.636
0.256 0.723
0.871 0.115
0.704 0.266
0.681 0.583
0.84 0.169
0.412 0.187
0.834 0.284
0.248 0.446
0.864 0.962
0.34 0.221
0.256 0.896
0.199 0.548
0.144 0.663
0.89 0.233
0.311 0.842
0.776 0.445
0.255 0.096
0.968 0.698
